"Name","Email","Phone Number","reason_1"
"Mihul","Mihul@gmail.com","916399000000","Duplicate phone number"
"Raunak","Raunak@gmail.com","918131000000","Duplicate phone number"
"Rishabh","Rishabh@gmail.com","918792000000","Duplicate phone number"
"Rishi","Rishi@gmail.com","917018000000","Duplicate phone number"
"Pawanone","Pawanone@gmail.com","917618000000","Duplicate phone number"
"Pawantwo","Pawantwo@gmail.com","916399000000","Duplicate phone number"
"Akash","Akash@gmail.com","919462000000","Duplicate phone number"
"Vijay","Vijay@gmail.com","919876000000","Duplicate phone number"
"Manoj","Manoj@gmail.com","918801000000","Duplicate phone number"
"ManpreetOne","ManpreetOne@gmail.com","919815000000","Duplicate phone number"
"Manpreettwo","Manpreettwo@gmail.com","919873000000","Duplicate phone number"
"Saurabh","Saurabh@gmail.com","919971000000","Duplicate phone number"
"Jeet","Jeet@gmail.com","917859000000","Duplicate phone number"
"Raushani","Raushani@gmail.com","919935000000","Duplicate phone number"
"Palak","Palak@gmail.com","917807000000","Duplicate phone number"
"Dheerendra","Dheerendra@gmail.com","919997000000","Duplicate phone number"
"Ashwani","Ashwani@gmail.com","919805000000","Duplicate phone number"
"Jatin","Jatin@gmail.com","919737000000","Duplicate phone number"
"Gitanjli","Gitanjli@gmail.com","919146000000","Duplicate phone number"
"Puja","Puja@gmail.com","919304000000","Duplicate phone number"
"Sumit","Sumit@gmail.com","916396000000","Duplicate phone number"
"Abhinav","Abhinav@gmail.com","919319000000","Duplicate phone number"
"ABHISHEK","ABHISHEK@gmail.com","918006000000","Duplicate phone number"
"Ankit","Ankit@gmail.com","917906000000","Duplicate phone number"
"Chandan","Chandan@gmail.com","917250000000","Duplicate phone number"
"Laukesh","Laukesh@gmail.com","918709000000","Duplicate phone number"
"Mihul","Mihul@gmail.com","916399000000","Duplicate phone number"
"Rahul","Rahul@gmail.com","917838000000","Duplicate phone number"
"Shivali","Shivali@gmail.com","918427000000","Duplicate phone number"
"Sagar","Sagar@gmail.com","917017000000","Duplicate phone number"
"Shweta","Shweta@gmail.com","918629000000","Duplicate phone number"
"ManpreetOne","ManpreetOne@gmail.com","919815000000","Duplicate phone number"
"Manpreettwo","Manpreettwo@gmail.com","919873000000","Duplicate phone number"
"Saurabh","Saurabh@gmail.com","91997100000000","Phone Number is not valid"
"Jeet","Jeet@gmail.com","91785900000000","Phone Number is not valid"
"Raushani","Raushani@gmail.com","9199350000000","Phone Number is not valid"
"Palak","Palak@gmail.com","91780700000000","Phone Number is not valid"
"Dheerendra","Dheerendra@gmail.com","91999700000000","Phone Number is not valid"
"Ashwani","Ashwani@gmail.com","9198050000000","Phone Number is not valid"
"Jatin","Jatin@gmail.com","9197370000000","Phone Number is not valid"
"Gitanjli","Gitanjli@gmail.com","91914600000000","Phone Number is not valid"
"Puja","Puja@gmail.com","91930400000000","Phone Number is not valid"
"Sumit","Sumit@gmail.com","91639600000000","Phone Number is not valid"
"Abhinav","Abhinav@gmail.com","9193190000000","Phone Number is not valid"
"ABHISHEK","ABHISHEK@gmail.com","91800600000000","Phone Number is not valid"
"Ankit","Ankit@gmail.com","91790600000000","Phone Number is not valid"
"Chandan","Chandan@gmail.com","9172500000000","Phone Number is not valid"
"Laukesh","Laukesh@gmail.com","9187090000000","Phone Number is not valid"
"Mihul","Mihul@gmail.com","9163990000000","Phone Number is not valid"
"Rahul","Rahul@gmail.com","9178380000000","Phone Number is not valid"
"Shivali","Shivali@gmail.com","9184270000000","Phone Number is not valid"
"Sagar","Sagar@gmail.com","9170170000000","Phone Number is not valid"
"Shweta","Shweta@gmail.com","9186290000000","Phone Number is not valid"
"ManpreetOne","ManpreetOne@gmail.com","9198150000000","Phone Number is not valid"
"Manpreettwo","Manpreettwo@gmail.com","9198730000000","Phone Number is not valid"
"Saurabh","Saurabh@gmail.com","9199710000000","Phone Number is not valid"
"Jeet","Jeet@gmail.com","9178590000000","Phone Number is not valid"
"Raushani","Raushani@gmail.com","9199350000000","Phone Number is not valid"
"Palak","Palak@gmail.com","9178070000000","Phone Number is not valid"
"Dheerendra","Dheerendra@gmail.com","9199970000000","Phone Number is not valid"
"Ashwani","Ashwani@gmail.com","9198050000000","Phone Number is not valid"
"Jatin","Jatin@gmail.com","91973700000000","Phone Number is not valid"
"Gitanjli","Gitanjli@gmail.com","91914600000000","Phone Number is not valid"
"Puja","Puja@gmail.com","91930400000000","Phone Number is not valid"
"Sumit","Sumit@gmail.com","9163960000000","Phone Number is not valid"
"Abhinav","Abhinav@gmail.com","91931900000000","Phone Number is not valid"
"ABHISHEK","ABHISHEK@gmail.com","91800600000000","Phone Number is not valid"
"Ankit","Ankit@gmail.com","91790600000000","Phone Number is not valid"
"Chandan","Chandan@gmail.com","91725000000000","Phone Number is not valid"
"Laukesh","Laukesh@gmail.com","91870900000000","Phone Number is not valid"
"Mihul","Mihul@gmail.com","91639900000000","Phone Number is not valid"
"Rahul","Rahul@gmail.com","91783800000000","Phone Number is not valid"
"Shivali","Shivali@gmail.com","91842700000000","Phone Number is not valid"
"Sagar","Sagar@gmail.com","91701700000000","Phone Number is not valid"
"Shweta","Shweta@gmail.com","91862900000000","Phone Number is not valid"
"utrtrteryu","iret4@gmail.com","917657000000","Phone Number is not valid"
