"ID","Name","Phone Number","Email","Message Opt-in","Contact Owner","Tag","select tp","multiselect","date","time"
6244,"cdsfvd","24365476897",,"Yes",,"",,,,
6250,"WWFSE","243654765856","WFRWEGW@GMAIL.COM","Yes","Riya","Red","278_1:b","279_1:cd","2024-06-04","12:50"
6298,"qsqa","7634049804",,"Yes",,"",,,,
6311,"manav","66666",,,,"",,,,
6312,"Abhishek","7777777",,,,"",,,,
6313,"Mohan","888888",,,,"",,,,
6314,"gvdfh","465768976",,"Yes",,"",,,,
6315,"rrrrrrrrrrrrrr","3333333333","abc@gmail.com","Yes","Riya","",,,,
6317,"fsdg","234354356",,"Yes",,"",,,,
6331,"Harsh bnbnbnbmnbnmbnmbnmbnm","985664745545","null","Yes","Riya","",,,,
6337,"Add new Contact","545645645",,"Yes",,"",,,,
6338,"Demo","545454545",,"Yes",,"",,,,
